Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Sibylle von Burgau;1557;1627;katholisch;Angehörige der Aristokratie;;;;;
Johann Buschmann;1591;1662;keine Angabe;Künstler: Angewandte Kunst;;Uhren und Uhrwerke in der Sammlung Augusts d. J.;;;
Kaspar Buschmann;1563;1629;keine Angabe;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Wilhelm Buttler;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1616
Abraham Bzowski;1567;1637;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller";Dominikanerorden;;;;
Joachim III. Camerarius;1566;1642;protestantisch;Gelehrte und Schriftsteller;;;;;
Ludwig Camerarius;1573;1651;protestantisch;"Hofleute, höfische Administration; Gelehrte und Schriftsteller";;;;;
Margarethe Camerarius;;;protestantisch;Sonstige;;;;;um 1596–1617
Philipp Camerarius;1537;1624;protestantisch;"Gelehrte und Schriftsteller; Städtische Administration";;;;;
Johannes Campius;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;Glückwunsch-Flugblatt mit Kupferstich zur Hochzeit Wolfgang Wilhelms von Pfalz-Neuburg mit Magdalena von Bayern;;;um 1613 bis 1628
Peter Candid;;1628;katholisch;Künstler: Malerei;;Otto von Wittelsbach-Tapisserien;;;
Johann Carben Keller;;;keine Angabe;Städtische Administration;;;;;um 1613
Carlo Gaudenzio Madruzzo, Fürstbischof (Trient);1562;1629;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller";;;;;
Matthias von Carnitz;;;protestantisch;Hofleute, höfische Administration;Pommersche Gesandte beim Reichstag in Regensburg 1613;Stammbücher Philipp Hainhofers;;;zwischen 1613 und 1628
Joachim von Carpzow;1585;1628;protestantisch;Angehörige des Militärs;;;;;
Wolfgang II. zu Castell-Remlingen;1558;1631;protestantisch;Angehörige der Aristokratie;;;;;
Gottfried zu Castell-Rüdenhausen;1577;1635;protestantisch;Angehörige der Aristokratie;;;;;
Francesco da Castello;1540;1621;katholisch;Künstler: Malerei;;Stammbücher Philipp Hainhofers;;;
Friedrich Castillione;1577;;protestantisch;Hofleute, höfische Administration;;;;;
Salomon de Caus;1576;1626;protestantisch;"Künstler: Architektur; Gelehrte und Schriftsteller";;"Heidelberg, Schloss; Heidelberg, Schloss, Schlossgärten; Heidelberg, Schloss, Vogelhaus und Grotten in Stückgarten und Hortus Palatinus; Salomon de Caus: Institution Harmonique und Les Raisons Des Forces Mouvantes, 1615; Stuttgart, Lustgarten, Grotte";"Caus, Salomon de: Von Gewaltsamen Bewegungen. Beschreibung etlicher, so wol nützlichen alß lustigen Machiner beneben Vnderschiedlichen abriessen etlicher Höllen od. Grotten vnd lust Brunnen, 3 Bde., Frankfurt am Main 1615; de Caus, Salomon: Hortus Palatinus a Friderico rege Boemiae electore Palatino Heidelbergae exstructus, Frankfurt am Main 1620; Caus, Salomon de: Institution Harmonique. Divisée en deux parties. En la premiere sont monstrées les proportions des intervalles harmoniques, Frankfurt am Main 1615";;
Sylvia Cavriani;;1627;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Johann Cellarius;1580;1619;keine Angabe;Hofleute, höfische Administration;;"Mellificium Maritale, Gelegenheitsgedicht; Stammbücher Philipp Hainhofers";;;
Johann Georg Chanowsky;;;keine Angabe;Hofleute, höfische Administration;;;;;1611–1623
Alexander Chapman;;1629;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Charles I., Herzog (Aumale);1555;1631;katholisch;Angehörige der Aristokratie;;;;;
Pierre Charron;1541;1603;katholisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";;;"Charron, Pierre: De la Sagesse Livres Trois, Bordeaux 1601; Charron, Pierre: De la Sagesse Trois Livres, Paris 1604";;
Martin Chemnitz;1561;1627;protestantisch;Hofleute, höfische Administration;Pommersche Gesandte beim Reichstag in Regensburg 1613;Stammbücher Philipp Hainhofers;;;
Johannes Cholinus;1565;1629;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Christian, Markgraf (Brandenburg-Kulmbach);1581;1655;protestantisch;Hofleute, höfische Administration;Protestantische Union;Stammbuch Philipps II. von Pommern-Stettin;;;
Christian, Herzog (Braunschweig-Lüneburg);1566;1633;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Christian, Herzog (Schleswig-Holstein-Ærø);1570;1633;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Christian I., Fürst (Anhalt-Bernburg);1568;1630;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Christian, Herzog (Braunschweig-Lüneburg);1599;1626;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbuch Philipps II. von Pommern-Stettin;;;
Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler);1598;1654;protestantisch;Angehörige der Aristokratie;;;;;
Christian II., Fürst (Anhalt-Bernburg);1599;1656;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg (1599–1656), hrsg. und bearbeitet von Arndt Schreiber u. a., Wolfenbüttel 2013ff.;;
Christian IV., König (Dänemark);1577;1648;protestantisch;Angehörige der Aristokratie;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Christian IX., Graf (Oldenburg-Delmenhorst);1612;1647;protestantisch;Angehörige der Aristokratie;;;;;
Christian Günther I., Graf (Schwarzburg-Sondershausen);1578;1642;protestantisch;Angehörige der Aristokratie;;;;;
Christian, Graf (Waldeck);1585;1637;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
"Christian Wilhelm, Markgraf (Brandenburg) und Erzbischof
               (Magdeburg)";1587;1665;"protestantisch; katholisch";"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Johann Christin;;1637;protestantisch;Angehörige des Militärs;;;;;
Christine, Königin (Schweden);1626;1689;"protestantisch; katholisch";Angehörige der Aristokratie;;;;;
Georg Christmann;1564;1622;protestantisch;Hofleute, höfische Administration;;;;;
Christoph I., Markgraf (Baden), Söhne;;;;;;;;;
Christoph I., Markgraf (Baden), Töchter;;;;;;;;;
Cimberius;;;andere;Sonstige;;;;;58 v. Chr. nachgewiesen
Cimon;;;keine Angabe;Sonstige;;;;;
Claridor, literarische Gestalt;;;keine Angabe;Sonstige;Ritter der Spiegel der Tapferkeit, literarische Gestalten;;;;
Clarisel, literarische Gestalt;;;keine Angabe;Sonstige;Ritter der Spiegel der Tapferkeit, literarische Gestalten;;;;
Hans Jakob Claus;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1570 bis 1615
Clemens VIII., Papst;1536;1605;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
August Friedrich von Closen;;1635;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Georg Stephan von Closen;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;1616–1643 nachgewiesen
Johannes Urban von Closen;1562;1626;protestantisch;Angehörige der Aristokratie;;;;;
Philipp Clüver;1580;1622;protestantisch;Gelehrte und Schriftsteller;;;;;
Paul Coler;1555;1605;keine Angabe;Städtische Administration;;;;;
Fabrizio Colloredo;1576;;katholisch;"Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Concino Concini;1569;1617;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Georg Conler;;;katholisch;Städtische Administration;;;;;1601–1617 nachgewiesen
Constantia, Königin (Polen);1588;1631;katholisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Francesco Contarini;1554;1624;katholisch;Angehörige der Aristokratie;Venezianische Gesandte beim Reichstag in Regensburg 1613;Stammbücher Philipp Hainhofers;;;
Cornelius_Heiliger;;;"andere; christlich allgemein";Angehörige des Militärs;;;;;
Cosimo II., Großherzog (Toskana);1590;1621;katholisch;Angehörige der Aristokratie;;;;;
Daniel Cramer;1568;1637;protestantisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Hugo Cratz von Scharffenstein;;1625;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
von Creu(t)z;;;keine Angabe;Hofleute, höfische Administration;;;;;1615 nachgewiesen
Julius Caesar Crivelli;1575;1647;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Michael Cronenberg;1568;1635;katholisch;Städtische Administration;;;;;
Anna von Croÿ;1590;1660;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Dominicus Custos;1559;1615;protestantisch;Künstler: Graphik;;"Monumenta SS. Passionis Domini Nostri Jesu Christi; Porträt Albrechts V. von Bayern (1620); Porträt Georg Johann Georgs von Werdenstein; Porträt Kaiser Ludwigs IV. des Bayern; Porträt Wilhelms V. von Bayern (1596); Porträt des hl. Franz von Assisi; Porträt von Heinrich Julius zu Braunschweig-Lüneburg; Speculum Humanae Vitae, Einblattdruck mit allegorischer Darstellung; Stammbaum der Herzöge von Mecklenburg – In Stemma Ducum Mechelburgi Notationes; Wappen der Kurpfalz (Pfalz-Simmern); Wappenexlibris des Johann Georg von Werdenstein";"Albizzi, Antonio, und Dominicus Custos: Principum Christianorum Stemmata, Augsburg 1608; Custos, Dominicus, und Marcus Henning: Atrium Heroicum Caesarum, Regum Aliarumque Summatum Ac Procerum, Bd. 1–4 (erschienen: 1600–1602), Augsburg 1600–1605";;
Raphael Custos;1590;1664;katholisch;Künstler: Graphik;;"Nürnberger Botentäfelchen; Porträt Maximilians I. von Bayern (nach 1623)";;;
Heinrich von Dacheröden;;1631;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Christoph von Dachsberg zu Zangberg;;;katholisch;Hofleute, höfische Administration;;;;;zwischen 1612 und 1628
Johann Ludwig von Dachsberg;;;protestantisch;"Hofleute, höfische Administration; Angehörige des Militärs; Angehörige der Aristokratie";;;;;1608–1628
Karl von Dachsberg;1550;1621;protestantisch;"Angehörige des Militärs; Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Caspar Dämpflin;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1636 tätig
Augusta von Dänemark;1580;1639;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Elisabeth von Dänemark;1573;1626;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Hedwig von Dänemark;1581;1641;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Dagobert I. (Frankenreich);;;katholisch;Angehörige der Aristokratie;;;;;
Joachim von Damitz;;;protestantisch;Hofleute, höfische Administration;;;;;
Joachim Dannenwald;;;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;Stammbücher Philipp Hainhofers;;;1602–1617
Hans Friedrich Dantzer;;;protestantisch;Hofleute, höfische Administration;;;;;1603–1637
Didier D’Attel;1574;1637;katholisch;Hofleute, höfische Administration;;;;;
Emich von Daun-Falkenstein;;1628;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Sebastian von Daun-Falkenstein;;1619;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;1593–1619
Philipp Franz von Daun-Oberstein;1559;1624;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Christoph Jakob von Degenfeld;1596;1646;protestantisch;Angehörige der Aristokratie;;;;;
Jean Delaune;1559;;keine Angabe;Künstler: Malerei;;;;;
Hans Caspar Delckner;;;protestantisch;Hofleute, höfische Administration;;;;;um 1616
Placido della Marra;1560;1620;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Isaak Delzer;;;keine Angabe;Hofleute, höfische Administration;;;;;erwähnt zwischen 1609 und 1615
Johann Delzer;1557;;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;nachgewiesen 1557–1617
Antonio Diaz;;1627;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Nikolaus von Diebitsch;;;protestantisch;Hofleute, höfische Administration;;;;;1613–1616
Heinrich Dietenheimer;;;christlich allgemein;Sonstige;;;;;
Magdalena Dietenheimer;;;katholisch;Sonstige;;;;;
Dietrich IV. von Fürstenberg, Fürstbischof (Paderborn);1546;1618;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Martin Dietrich;;1629;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Georg Dietrich Dietz;;;keine Angabe;Angehörige des Militärs;;;;;um 1612
Magnus (Mang) Dilherr von Thummenberg;1579;1634;keine Angabe;Angehörige der Aristokratie;;;;;
Martin Dilherr;1572;1632;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Diodor;;;andere;Gelehrte und Schriftsteller;;;;;ca. 60 v. Chr.–ca. 30 v. Chr
Diodotos Tryphon;;;andere;Angehörige der Aristokratie;;;;;
Pedanios Dioscurides;;;andere;Gelehrte und Schriftsteller;;;;;
Diotogenes;;;andere;Gelehrte und Schriftsteller;;;;;zwischen dem 4. und 2. Jh. v.Chr.
Cleophas Distelmayer;1548;1628;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Melchior Ditzinger;;;keine Angabe;Bedienstete;;;;;1617–1621
Franz Julius Döteber;1575;1648;keine Angabe;Künstler: Skulptur;;;;;
Abraham von Dohna;1579;1631;protestantisch;"Hofleute, höfische Administration; Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Achatius von Dohna;1581;1647;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Christoph von Dohna;1583;1637;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Domitian, Kaiser (Römisches Reich);;;andere;Angehörige der Aristokratie;;;;;
Georg Donauer;;;keine Angabe;Künstler: Malerei;;Orgel der Stadtpfarrkirche Freudenstadt;Hulsen, Esaias van: Repraesentatio Der Fvrstlichen Avfzvg Vnd Ritterspil. So [...] Herr Johan Friderich Hertzog zu Württemberg, vnd Teckh [...] bey Ihr. F.G. Neüwgebornen Sohn, Friderich Hertzog zu Württemberg. etc. Fürstlicher Kindtauffen, denn 10. biss auff denn 17 Martij, Anno. 1616. Inn [...] Stuetgarten, mit grosser solennitet gehalten [...], Stuttgart 1616;;
Lorenz Donner;;1617;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Dorothea von Sachsen, Äbtissin (Quedlinburg);1591;1617;protestantisch;Angehörige der Aristokratie;;;;;
Dottore Gratiano;;;keine Angabe;Sonstige;;;;;
Drei Könige;;;;;;;;;
Jeremias Drexel;1581;1638;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller; Hofleute, höfische Administration";Jesuitenorden;;;;
6 andere Duces;;;;;;;;;
6 Duces und Imperatores;;;;;;;;;
Arp von Düring;;;protestantisch;Angehörige der Aristokratie;;;;;um 1616
Johann Dürr;1600;1633;keine Angabe;Künstler: Graphik;;;;;
Maria Dullinger;1570;1618;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Isaac Dupont;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;1616–1669
Eberhard, Herzog (Bayern);;;katholisch;Angehörige der Aristokratie;;;;;gestorben nach 938
Eberstein, Adelsfamilie;;;;;;;;;
Johann Jakob II. von Eberstein;;1638;protestantisch;Angehörige der Aristokratie;;;;;
Philipp III. von Eberstein;1568;1609;protestantisch;Angehörige der Aristokratie;;;;;
Volrath von Eberstein;1580;1640;keine Angabe;Angehörige der Aristokratie;;;;;
Rudolf Ebinger;;1640;keine Angabe;Hofleute, höfische Administration;;;;;1594–1640
Ebion;;;christlich allgemein;Sonstige;;;;;
Johann Wilhelm Ebner von Eschenbach;1554;1614;keine Angabe;Städtische Administration;;;;;
Valentin Echter von Mespelbrunn;1550;1624;katholisch;Hofleute, höfische Administration;Reichshofrat (Heiliges Römisches Reich);;;;
Johann Christoph Eckbrecht von Dürckheim;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1605–1616
Eduard Fortunat, Markgraf (Baden-Baden);1565;1600;"protestantisch; katholisch";Angehörige der Aristokratie;;;;;
Afra Egloffer;;;christlich allgemein;Sonstige;;;;;
Hans Egloffer;;;christlich allgemein;Sonstige;;;;;
Ehinger, Patrizierfamilie;;;katholisch;;;;;;
Anna Ehinger;;;katholisch;Sonstige;;;;;
Hans Ehinger;;;katholisch;Sonstige;;;;;
Hans Ehinger;;;katholisch;Sonstige;;;;;
Johann Rudolf Ehinger von Balzheim;1570;;protestantisch;Hofleute, höfische Administration;;;;;um 1570–1629
Joseph Ehinger;;;katholisch;Sonstige;;;;;
Veronica Ehinger;;;katholisch;Sonstige;;;;;
Simon Eisen;1560;1619;protestantisch;Hofleute, höfische Administration;;;;;
Emmeram Eisenkeck;1572;1618;protestantisch;Städtische Administration;;;;;
Eitel Friedrich, Bischof (Osnabrück);1582;1625;katholisch;Angehörige der Aristokratie;;;;;
Ekkehard I., Graf (Scheyern);;;katholisch;Angehörige der Aristokratie;;;;;vor 1091
Ekkehard II., Graf (Scheyern);;;katholisch;Angehörige der Aristokratie;;;;;um 1116
Elisabeth I., Königin (England);1533;1603;protestantisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";;;;;
Ellenhard von Freising, Bischof (Freising);;;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;zwischen 1025 und 1078
Agnes Ellerbeck;;;christlich allgemein;Sonstige;;;;;
Franz von Eltz-Pyrmont;;;keine Angabe;Angehörige der Aristokratie;;;;;1613–1620 nachgewiesen
Cyriacus Empel;;1610;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;
Friedrich Endorfer;1566;1628;keine Angabe;"Städtische Administration; Kaufleute, Gewerbetreibende, Dienstleister";"Augsburger Gesandte beim Reichstag in Regensburg 1613; Rat der Stadt Augsburg";;;;
Johann Christoph von Engelshofen;1555;1626;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Drei edle Engländerinnen, Personifikationen;;;;;;;;;
Elisabeth von England;1596;1662;protestantisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";;"Heidelberg, Schloss, Schlossgärten; Heidelberg, Schloss, Vogelhaus und Grotten in Stückgarten und Hortus Palatinus; Stammbücher Philipp Hainhofers";;;
Enno III., Graf (Ostfriesland);1563;1625;protestantisch;Angehörige der Aristokratie;;;;;
Friedrich Enslin;1578;1636;protestantisch;Städtische Administration;;;;;
Hermann von Eptingen;;;protestantisch;Angehörige von sozialen Randgruppen;;;;;ca. 1616–1651
